"13","백아","Baek A",,"멜론 기준 최신곡: 발송, 대표곡: 첫사랑","5rHUhS9Ya0S63WI9LFmCSx","https://i.scdn.co/image/ab6761610000e5eb87cdc5ffb11081b89c70e8ce"
"14","브로콜리너마저","Broccoli you too",,,"1gq4XavqmZhqOzEkpFBz1j","https://i.scdn.co/image/ab67616d0000b273ad1183295a661474e6f049db"
"15","쏜애플","THORNAPPLE",,,"6S4fsREHT1NEjTb3lYD2pG","https://i.scdn.co/image/ab6761610000e5eb4506d70c02763753b03fd07b"
"16","SURL","설",,,"7owveHzN1hmQuw6Ojg4sI3","https://i.scdn.co/image/ab6761610000e5eb49317c40b1782aca07592d7e"
"17","한로로","HANRORO",,,"5wVJpXzuKV6Xj7Yhsf2uYx","https://i.scdn.co/image/ab6761610000e5eb95ab178a1806ccf49447caf1"
"18","윤지영",,,"멜론 기준 최신곡: LOVE IS EVERYWHERE","5SkCZXyRQxw5ZLWAH5r4UJ","https://i.scdn.co/image/ab6761610000e5ebbb551b79240df364a678b3b0"
"19","백예린","Yerin Baek",,,"6dhfy4ByARPJdPtMyrUYJK","https://i.scdn.co/image/ab6761610000e5eb28f845b9a1c6e8bccb255f0c"
"20","유다빈밴드","YdBB",,,"2UjX6FLGyUQb4sbookjR3y","https://i.scdn.co/image/ab6761610000e5ebc827e4041ad2e45a1cb76777"
"21","신지훈",,,"멜론 기준 최신곡: 우리의 얘기를 쓰겠소","0RpcAXbMHCcEEurjyHvuyg","https://i.scdn.co/image/ab6761610000e5eb76fae955c3bf2e35b40f7319"
"22","wave to earth","웨이브투어스",,,"5069JTmv5ZDyPeZaCCXiCg","https://i.scdn.co/image/ab6761610000e5eb35f487d9b8e8cd6d7f321980"
"23","LUCY","루시",,,"4eh2JeBpQaScfHKKXZh5vO","https://i.scdn.co/image/ab6761610000e5eb7541701f47f8126ec943c1d6"
"24","터치드","TOUCHED",,,"5jgIm8tZ4hqLeoHTo9wJIV","https://i.scdn.co/image/ab6761610000e5eb9b9d15a62edd512a17c22fba"
"25","알레프","ALEPH",,,"2ncTglxMHKmCzBKckfzOEv","https://i.scdn.co/image/ab6761610000e5ebe7d1d770efe61d038a92f1bc"
"26","하현상",,,,"1jK4qH2wAXqF8v64zvaGRb","https://i.scdn.co/image/ab6761610000e5eb2fb4c2db5dd38ec1319cecc9"
"27","김사월",,,,"08J6v4qHZz06ua0qAicWmE","https://i.scdn.co/image/ab6761610000e5eb726e18febfae4a5c97ff8700"
"28","언니네 이발관",,,,"38zrlSgF4lNQMsSA0elpI7","https://i.scdn.co/image/ab67616d0000b27323d65e1cb6de107cedea385d"
"29","나상현씨밴드","Band Nah",,,"5td0g0Owd8ZYu7SVb6f9xh","https://i.scdn.co/image/ab6761610000e5ebeeeff90f0dbd20b6aa7b0089"
"30","박소은",,,"멜론 기준 최신곡: 위로, 대표곡: 너는 나의 문학","20gFWTh2tofhLIjyn2fHeG","https://i.scdn.co/image/ab6761610000e5ebcf2339c5490cf9dcf4829142"
"31","짙은",,,,"3of4z5k152Et4C0IQ7HUAg","https://i.scdn.co/image/ab6761610000e5ebdf3dde724d74da69164518e6"
"32","Mingginyu","밍기뉴",,,"29UQ130XMQDR55X4Rmjapd","https://i.scdn.co/image/ab6761610000e5eba0a17c532137097180d2bdfc"
"33","김뜻돌",,,,"7EVlq3yUVHbHZZsaYSOcXt","https://i.scdn.co/image/ab6761610000e5ebdfc45a3ecf9c9641a7ce9c4c"
